expression,reading,meaning,tags,guid,ความหมาย,jp_sentence,th_sentence
革命,かくめい,revolution,JLPT_1 JLPT,O;mF68dq6Q,"การปฎิวัติ, การเปลี่ยนแปลงครั้งใหญ่, การปฏิรูปใหญ่, การพลิกฟ้าคว่ำแผ่นดิน",革命が起こった。,การปฏิวัติได้เกิดขึ้น
確立,かくりつ,establishment,JLPT_1 JLPT,m(/`$&[BF3,"การจัดตั้ง, การก่อตั้ง, การสร้าง, การวางรากฐาน",友情を確立する。,สร้างมิตรภาพ
賭,かけ,"betting, gambling, a gamble",JLPT_1 JLPT,s:YO~5k/sp,"การพนัน การเสี่ยงโชค, การเดิมพัน, การเล่นพนัน, การเสี่ยงดวง",賭をしてはいけません。,ห้ามเล่นการพนัน
掛～,かけ～,credit,JLPT_1 JLPT,c#>^nQjhVy,"เครดิต, สินเชื่อ, การเชื่อถือ, บัญชีเงินเชื่อ",掛けで買いました。,ฉันซื้อด้วยเครดิต
～掛け,～かけ,"rack, hanger",JLPT_1 JLPT,"Lr[e?zZ5,<","ราวแขวน, ที่แขวน, ไม้แขวน, ตะขอ",コート掛けはどこですか。,ที่แขวนเสื้อโค้ทอยู่ไหน
崖,がけ,cliff,JLPT_1 JLPT,lH2H25www/,"หน้าผา, ชะง่อนผา, ผาสูง, ผาชัน",崖から落ちた。,ฉันตกจากหน้าผา
駆け足,かけあし,"running fast, double time",JLPT_1 JLPT,Nd5EP#88A|,"วิ่งเร็ว สองเท่า, เร่งฝีเท้า, วิ่งรุด, การวิ่งเร็ว",駆け足で駅に向かいました。,ฉันวิ่งไปที่สถานี
家計,かけい,"household economy, family finances",JLPT_1 JLPT,vh}KbR&s=#,"เศรษฐกิจครัวเรือน การเงินครอบครัว, รายได้ครัวเรือน, ค่าใช้จ่ายครอบครัว, การบริหารเงินในบ้าน",家計を助ける。,ช่วยเรื่องการเงินของครอบครัว
駆けっこ,かけっこ,(foot) race,JLPT_1 JLPT,"A8,h2([S[A","(วิ่ง) แข่ง, วิ่งแข่ง, การแข่งขันวิ่ง, แข่งขัน",子供たちが駆けっこしています。,เด็กๆ กำลังวิ่งแข่งกัน
加工,かこう,"manufacturing, processing, treatment",JLPT_1 JLPT,E^@%K2YN]n,"การผลิต การแปรรูป การบำบัด, การปรุงแต่ง, การประดิษฐ์, การจัดการ",この材料は加工が難しい。,วัสดุนี้แปรรูปยาก
化合,かごう,chemical combination,JLPT_1 JLPT,my>j<9l(Hz,"การรวมตัวทางเคมี, การรวมทางเคมี, ปฏิกิริยาเคมี, สารประกอบ",二つの物質が化合する。,สารสองชนิดรวมตัวกัน
かさばる,かさばる,to be bulky,JLPT_1 JLPT,"nuG,E:/*HK","มีขนาดใหญ่, เทอะทะ, กินที่, พะรุงพะรัง",この荷物はかさばる。,พัสดุนี้เทอะทะ
かさむ,かさむ,"to pile up, to increase",JLPT_1 JLPT,D*tj!&=/|(,"สะสม, เพิ่มขึ้น, ทับถม, พอกพูน",出費がかさむ。,ค่าใช้จ่ายเพิ่มขึ้น
箇条書,かじょうがき,"itemized form, itemization",JLPT_1 JLPT,uU[=f*p0xK,"แบบฟอร์มแยกรายการ, รายการย่อย, แยกเป็นข้อ, แจกแจงรายการ",箇条書きで説明します。,ฉันจะอธิบายเป็นข้อๆ
頭,かしら,"head, chief",JLPT_1 JLPT,qKQ^U]P!d/,"หัวหน้า, ประธาน, ผู้นำ",彼はチームのかしらです。,เขาเป็นหัวหน้าทีม
微か,かすか,"faint, dim, weak",JLPT_1 JLPT,"iuQ;E47,]H","จาง, มืด, อ่อน, เลือนราง",かすかな光が見える。,เห็นแสงจางๆ
霞む,かすむ,"to grow hazy, to be misty",JLPT_1 JLPT,Muk^XW#N{G,"กลายเป็นหมอกจางๆ, มีหมอกลง, มืดมัว, พร่ามัว",遠くの山が霞んでいます。,ภูเขาที่อยู่ไกลๆ ถูกปกคลุมด้วยหมอก
擦る,かする,"to rub, to chafe",JLPT_1 JLPT,b*c:1ipqfg,"ถู, เสียดสี, ขัด, ลูบ",壁を擦る。,ถูผนัง
火星,かせい,Mars,JLPT_1 JLPT,hK6{i6DNme,"ดาวอังคาร, มฤตยู, ดาวแดง, ดวงดาวอังคาร",火星に興味があります。,ฉันสนใจดาวอังคาร
化石,かせき,"fossil, petrifaction, fossilization",JLPT_1 JLPT,i)2P[%uf@w,"ฟอสซิล, การกลายเป็นหิน, การเกิดฟอสซิล, ซากดึกดำบรรพ์",化石を発掘した。,พวกเขาขุดพบฟอสซิล
河川,かせん,rivers,JLPT_1 JLPT,j9XYM<zDW5,"แม่น้ำ, ลำน้ำ, สายน้ำ, ลำคลอง",この河川はきれいです。,แม่น้ำสายนี้สะอาด
化繊,かせん,synthetic fibers,JLPT_1 JLPT,A<4D0W-y5X,"เส้นใยสังเคราะห์, ใยสังเคราะห์, เส้นใยประดิษฐ์, ไฟเบอร์สังเคราะห์",化繊の服を着る。,ใส่เสื้อผ้าใยสังเคราะห์
過疎,かそ,depopulation,JLPT_1 JLPT,C6FP<#I<*d,"การลดจำนวนประชากร, ประชากรเบาบาง, การอพยพออก, การลดลงของประชากร",過疎の村があります。,มีหมู่บ้านที่มีประชากรเบาบาง
片～,かた～,single ~,JLPT_1 JLPT,p/$/VrksK},"โสด ~, ข้างเดียว, อันเดียว, เดียว",片方の靴がない。,รองเท้าข้างหนึ่งหายไป
片言,かたこと,"broken (in reference to speaking style, e.g., Japanese)",JLPT_1 JLPT Intermediate_Japanese_Ln.13 Intermediate_Japanese,nEkc_9&ki`,"ผิดเพี้ยน (ในความหมายของรูปแบบการพูด เช่น ภาษาญี่ปุ่น), พูดไม่ชัด, พูดติดๆ ขัดๆ, พูดกระท่อนกระแท่น",彼は片言の日本語しか話せない。,เขาพูดภาษาญี่ปุ่นได้เพียงเล็กน้อย
傾ける,かたむける,"to incline, to tilt, to bend",JLPT_1 JLPT,g+aTq;z^TG,"เอียง, ลาดเอียง, โค้งงอ, โน้มเอียง",コップを傾ける。,เอียงแก้ว
固める,かためる,"to harden, to freeze, to fortify",JLPT_1 JLPT,M}jO{cRWN^,"ทำให้แข็งตัว, ทำให้เป็นน้ำแข็ง, ทำให้แข็งแกร่ง, ทำให้แน่น",ゼリーを固める。,ทำให้เยลลี่แข็ง
傍ら,かたわら,"beside(s, while, nearby",JLPT_1 JLPT,H(u3_23(VR,"ข้างๆ ขณะที่ ใกล้เคียง, เคียงข้าง, ควบคู่ไปกับ, ใกล้ๆ",母の傍らで勉強する。,ฉันเรียนข้างๆ แม่
花壇,かだん,flower bed,JLPT_1 JLPT,vyDiG-w#Vb,"แปลงดอกไม้, สวนดอกไม้, ดงดอกไม้, ที่ปลูกดอกไม้",花壇に花を植える。,ปลูกดอกไม้ในแปลงดอกไม้
家畜,かちく,"domestic animals, livestock, cattle",JLPT_1 JLPT,sf(M2A{2zC,"สัตว์เลี้ยงในบ้าน ปศุสัตว์ โค, สัตว์เลี้ยง, วัว, สัตว์เศรษฐกิจ",家畜を飼う。,เลี้ยงปศุสัตว์
且つ,かつ,"yet, and",JLPT_1 JLPT,"bxhWiXnmE,","อย่างไรก็ตาม และ, อีกทั้ง, พร้อมทั้ง, ทั้งยัง",彼は親切で、且つ、賢い。,เขาใจดีและฉลาด
がっくり,がっくり,heartbroken,JLPT_1 JLPT,n#j+;o[:]<,"อกหัก, เศร้าโศก, ผิดหวัง, เสียใจ",試合に負けてがっくりした。,ฉันผิดหวังที่แพ้การแข่งขัน
合唱,がっしょう,"chorus, singing in a chorus",JLPT_1 JLPT,"ck-jle>!,g","คณะนักร้องประสานเสียง ร้องเพลงเป็นกลุ่ม, การร้องประสานเสียง, การขับร้องหมู่, คอรัส",合唱コンクールに出場する。,จะเข้าร่วมประกวดร้องประสานเสียง
がっしり,がっしり,"firmly, solidly, tough",JLPT_1 JLPT,Kl0>:WZG~Z,"มั่นคง แข็งแรง ทนทาน, แข็งแกร่ง, แน่นหนา, คงทน",建物ががっしりしている。,อาคารแข็งแรง
合致,がっち,"agreement, concurrence, conforming to",JLPT_1 JLPT,Af^(s-@)C7,"ข้อตกลง, ความเห็นพ้อง, การปฏิบัติตาม, ความสอดคล้อง",二人の意見が合致した。,ความคิดเห็นของทั้งสองคนตรงกัน
がっちり,がっちり,"solidly built, tightly",JLPT_1 JLPT,dl.]7IVV60,"สร้างอย่างแข็งแรง แน่นหนา, อย่างมั่นคง, อย่างแข็งแกร่ง, อย่างแน่น",橋ががっちり作られた。,สะพานถูกสร้างขึ้นอย่างแข็งแรง
かつて,かつて,"once, before, formerly",JLPT_1 JLPT,fI;@sLyG_Q,"ครั้งหนึ่ง ก่อนหน้านี้ ในอดีต, แต่ก่อน, เมื่อก่อน, เคย",かつて栄えた町。,เมืองที่เคยรุ่งเรือง
勝手,かって,"kitchen; one's way, selfishness",JLPT_1 JLPT,r+VI)d1wQ0,"ห้องครัว; วิถีของตนเอง, ความเห็นแก่ตัว, ครัว, ตามใจตัวเอง",勝手なことをしないでください。,กรุณาอย่าทำตามใจตัวเอง
カット,カット,"cut, cutting",JLPT_1 JLPT,Q+NVsyIn!c,"ตัด, การตัด, หั่น, เล็ม",髪をカットしてもらう。,ให้ตัดผม
活発,かっぱつ,"vigor, active",JLPT_1 JLPT,M`7Eo@!%5A,"พลัง ความกระฉับกระเฉง, กระตือรือร้น, มีชีวิตชีวา, คึกคัก",子供は活発だ。,เด็กๆ กระตือรือร้น
合併,がっぺい,"combination, amalgamation, merger",JLPT_1 JLPT,h>=`Vc9TZZ,"การรวมกัน การรวมกิจการ การควบรวม, การผนวกรวม, การรวมบริษัท, การรวมเข้าด้วยกัน",二つの会社が合併した。,สองบริษัทได้รวมกิจการกัน
カテゴリー,カテゴリー,category,JLPT_1 JLPT,JAwB1=<{pF,"หมวดหมู่, ชนิด, ประเภท, จำพวก",この本はどのカテゴリーに入りますか。,หนังสือนี่จัดอยู่ในหมวดหมู่ไหน
叶う,かなう,to come true,JLPT_1 JLPT,E5LD5p#as=,"เป็นจริง, สำเร็จ, บรรลุผล, สมปรารถนา",彼の願いが叶う。,ความปรารถนาของเขาเป็นจริง
叶える,かなえる,"to grant (request, wish)",JLPT_1 JLPT,x!3$MxvZF0,"เพื่ออนุมัติ (คำขอ, ความปรารถนา), ให้สมหวัง, ทำให้เป็นจริง",夢を叶える。,ทำให้ความฝันเป็นจริง
金槌,かなづち,(iron) hammer,JLPT_1 JLPT,C7&9nlfhkO,"ค้อน (เหล็ก), ฆ้อน, เครื่องตอก, ค้อนเหล็ก",金槌で釘を打つ。,ตอกตะปูด้วยค้อน
かなわない,かなわない,"be beyond one's power, be unable",JLPT_1 JLPT,i9$e:WA[rV,"เกินกำลัง ไม่สามารถควบคุมได้, ทำไม่ได้, สู้ไม่ได้, สุดความสามารถ",彼にはかなわない。,ฉันสู้เขาไม่ได้
加入,かにゅう,"becoming a member, admission",JLPT_1 JLPT,"w%]Rn6,Z,X","การเป็นสมาชิก การรับเข้าเป็นสมาชิก, การสมัครเป็นสมาชิก, การเข้าร่วม, การเข้าเป็นพวก",クラブに加入する。,สมัครเป็นสมาชิกชมรม
予て,かねて,"previously, already, lately",JLPT_1 JLPT,i+&=;*57v},"ก่อนหน้านี้แล้ว เมื่อเร็วๆ นี้, แต่เดิม, ในอดีต, ที่ผ่านมา",かねてよりの計画です。,เป็นแผนที่วางไว้ตั้งแต่ก่อนหน้านี้
庇う,かばう,"to protect someone, to&nbsp;&nbsp;cover up for someone",JLPT_1 JLPT,e-}GY5UR@1,"เพื่อปกป้องใครบางคน เพื่อปกปิดความผิดของใครบางคน, คุ้มครอง, ป้องกัน, แก้ต่าง",友達を庇う。,ปกป้องเพื่อน
株式,かぶしき,stock,JLPT_1 JLPT,nMsDO&gGxt,"คลังสินค้า, หุ้น, หลักทรัพย์, ทุนเรือนหุ้น",株式市場が変動する。,ตลาดหุ้นผันผวน
かぶれる,かぶれる,to react to; to be influenced by,JLPT_1 JLPT,C5U+~~@Gnd,"ตอบสนองต่อ; ได้รับอิทธิพลจาก, ซึมซับ, ได้รับผลกระทบ, มีปฏิกิริยา",その話にすぐかぶれる。,ได้รับอิทธิพลจากเรื่องนั้นเร็ว
花粉,かふん,pollen,JLPT_1 JLPT,Gm8]&VGB-;,"เรณู, เกสรดอกไม้, ละอองเกสร, ฝุ่นละออง",花粉症で鼻水が出る。,มีน้ำมูกจากโรคแพ้ละอองเกสร
貨幣,かへい,"money, currency, coinage",JLPT_1 JLPT,F<$WXw={D<,"เงิน, สกุลเงิน, เหรียญกษาปณ์, ธนบัตร",新しい貨幣制度。,ระบบเงินตราใหม่
構える,かまえる,to set up,JLPT_1 JLPT,jB<-nj(U&|,"เพื่อตั้งค่า, จัดตั้ง, ก่อตั้ง, เตรียมพร้อม",店を構える。,เปิดร้าน
過密,かみつ,crowded,JLPT_1 JLPT,AOD1mkToDl,"แออัด, หนาแน่น, เบียดเสียด, ยัดเยียด",過密なスケジュール。,ตารางงานที่แน่นขนัด
噛み切る,かみきる,"to bite off, to gnaw through",JLPT_1 JLPT,"hh,VOk`A<;","กัดขาด, แทะผ่าน, ฉีกด้วยฟัน, กัดกิน",パンを噛み切る。,กัดขนมปังให้ขาด
カムバック,カムバック,comeback,JLPT_1 JLPT,HjHeH1>k=t,"การกลับมา, หวนคืน, การคืนสู่, การฟื้นตัว",歌手がカムバックした。,นักร้องกลับมาแล้ว
カメラマン,カメラマン,cameraman,JLPT_1 JLPT,:MlB;<{_:,"ช่างภาพ, ผู้ถ่ายภาพ, ตากล้อง, นักถ่ายภาพ",カメラマンが写真を撮る。,ช่างภาพถ่ายรูป
粥,かゆ,rice porridge,JLPT_1 JLPT,fFz9w`]5pq,"โจ๊ก, ข้าวต้ม, ข้าวอ่อน, อาหารเหลว",熱があるので、おかゆを食べます。,ฉันมีไข้ เลยกินโจ๊ก
体付き,からだつき,"body build, figure",JLPT_1 JLPT,D?fkTo{@|E,"รูปร่าง, หุ่น, สรีระ, โครงสร้างร่างกาย",彼は体付きがいい。,เขามีรูปร่างดี
絡む,からむ,"to entangle, to entwine",JLPT_1 JLPT,O17r;^Y(oJ,"พันกัน, เกี่ยวพันกัน, พัวพัน, ข้องเกี่ยว",コードが絡まった。,สายไฟพันกัน
かりに,かりに,"temporarily; if, for argument's sake",JLPT_1 JLPT,c$0g$/@+f7,"ชั่วคราว; ถ้าเพื่อเป็นการยกตัวอย่าง, สมมติว่า, โดยสมมติ, ชั่วขณะ",かりに、そうだとしよう。,สมมติว่า เป็นเช่นนั้น
カルテ,カルテ,clinical records (GER: Karte),JLPT_1 JLPT,GwQApsAV[E,"บันทึกทางการแพทย์ (GER: Karte), เวชระเบียน, ประวัติคนไข้, แฟ้มประวัติ",カルテを見せる。,แสดงเวชระเบียน
ガレージ,ガレージ,garage (at house),JLPT_1 JLPT,LKr$xf+m)f,"โรงรถ (ที่บ้าน), อู่จอดรถ, ที่จอดรถในบ้าน, โรงจอดรถส่วนตัว",車をガレージに入れる。,นำรถเข้าโรงรถ
過労,かろう,"overwork, strain",JLPT_1 JLPT,Dx#E|nd<`@,"การทำงานหนักเกินไป ความเครียด, การหักโหมงาน, การใช้แรงงานเกินกำลัง, ความอ่อนล้า",過労で倒れた。,ล้มลงเพราะทำงานหนักเกินไป
かろうじて,かろうじて,"barely, narrowly",JLPT_1 JLPT,wzpJb%R2eZ,"เฉียดฉิวมาก, เกือบจะไม่, แทบจะ, หวุดหวิด",かろうじて間に合った。,เกือบจะไม่ทัน แต่ก็ทัน
交す,かわす,to exchange,JLPT_1 JLPT,ytWMD-K7Sv,"เพื่อแลกเปลี่ยน, สับเปลี่ยน, แลกเปลี่ยนกัน, ค้าขาย",挨拶を交す。,แลกเปลี่ยนคำทักทาย
代る代る,かわるがわる,alternately,JLPT_1 JLPT,Q<D|kTCMFu,"สลับกัน, ผลัดกัน, เวียนกัน, กลับกัน",交代で運転する。,ขับรถสลับกัน
簡易,かんい,"simplicity, easiness, quasi-",JLPT_1 JLPT,Qdl&|7}97?,"ความเรียบง่าย ความง่ายดาย กึ่งๆ-, ง่าย, สะดวก, ไม่ซับซ้อน",簡易な道具。,เครื่องมือง่ายๆ
灌漑,かんがい,irrigation,JLPT_1 JLPT,x3v&{30@Ie,"การชลประทาน, การทดน้ำ, การจ่ายน้ำ, การส่งน้ำ",農地に灌漑する。,ทดน้ำในที่นา
眼科,がんか,ophthalmology,JLPT_1 JLPT,y$)@b7Z=25,"จักษุวิทยา, แผนกตา, วิทยาโรคตา, แพทย์ตา",眼科で診察を受ける。,ไปตรวจตาที่แผนกตา
眼球,がんきゅう,eyeball,JLPT_1 JLPT,ppa9QzmFoc,"ลูกตา, นัยน์ตา, ดวงตา, ตา",眼球は丸い。,ลูกตามีรูปทรงกลม
玩具,がんぐ,toy,JLPT_1 JLPT,Fu?U%1UjU`,"ของเล่น, เครื่องเล่น, ของเด็กเล่น, ของสะสม",子供に玩具を与える。,ให้ของเล่นแก่เด็ก
簡潔,かんけつ,"brevity, concise, simple",JLPT_1 JLPT,Ch64u(7Zi6,"กระชับ สั้น เข้าใจง่าย, สรุป, กะทัดรัด, ไม่ยาว",簡潔に説明してください。,กรุณาอธิบายให้กระชับ
還元,かんげん,"resolution, reduction, return",JLPT_1 JLPT,b1~cd_rb8g,"ความละเอียด การลดลง การส่งคืน, การคืนค่า, การกลับคืน, การลดทอน",料金の還元。,การคืนค่าธรรมเนียม
看護,かんご,nursing,JLPT_1 JLPT,v]`cby4zI~,"การพยาบาล, การดูแลผู้ป่วย, การปฏิบัติการพยาบาล, การดูแลรักษา",看護師が働いている。,พยาบาลกำลังทำงาน
漢語,かんご,"Chinese word, Sino-Japanese word",JLPT_1 JLPT,BzS`z3a0wD,"คำภาษาจีน, คำภาษาจีน-ญี่ปุ่น, ศัพท์จีน, คำศัพท์จีน",漢語を勉強する。,เรียนคำภาษาจีน
頑固,がんこ,"stubbornness, obstinacy",JLPT_1 JLPT,iS7AjV-r.~,"ความดื้อรั้น ความหัวแข็ง, ดื้อด้าน, ไม่ยอมแพ้, หัวรั้น",頑固な人だ。,เขาเป็นคนหัวแข็ง
勧告,かんこく,"advice, counsel",JLPT_1 JLPT,ReTMd+-Cqd,"คำแนะนำ, การให้คำปรึกษา, ข้อแนะนำ, การตักเตือน",政府からの勧告。,คำแนะนำจากรัฐบาล
換算,かんさん,"conversion, change, exchange",JLPT_1 JLPT,V_iERi63U,"การแปลง การเปลี่ยนแปลง การแลกเปลี่ยน, การเปลี่ยนหน่วย, การคำนวณเปลี่ยน, การแปรค่า",円をドルに換算する。,แปลงเงินเยนเป็นดอลลาร์
監視,かんし,"observation, guarding, surveillance",JLPT_1 JLPT,xYmgA~gB7D,"การสังเกต การเฝ้ารักษา การเฝ้าระวัง, การตรวจตรา, การจับตาดู, การควบคุม",監視カメラを設置する。,ติดตั้งกล้องวงจรปิด
慣習,かんしゅう,usual (historical) custom,JLPT_1 JLPT,xb4/I5BD9M,"ธรรมเนียมปฏิบัติทั่วไป (ในอดีต), ประเพณี, วัฒนธรรม, ขนบธรรมเนียม",古い慣習を守る。,รักษาธรรมเนียมเก่า
観衆,かんしゅう,"spectators, audience",JLPT_1 JLPT,suIg*_}y!},"ผู้ชม, ผู้ดู, ผู้ฟัง, ฝูงชน",観衆が拍手した。,ผู้ชมปรบมือ
願書,がんしょ,application form,JLPT_1 JLPT,PJ0db[)2y/,"แบบฟอร์มใบสมัคร, ใบสมัคร, เอกสารสมัคร, ใบคำร้อง",願書を提出する。,ยื่นใบสมัคร
干渉,かんしょう,"interference, intervention",JLPT_1 JLPT,FlV}wK<+oD,"การแทรกแซง การรบกวน, การก้าวก่าย, การขัดขวาง, การเข้ายุ่ง",二国間の干渉。,การแทรกแซงระหว่างสองประเทศ
頑丈,がんじょう,"solid, firm, strong",JLPT_1 JLPT,o)b^-Y;KL),"มั่นคง แข็งแรง, ทนทาน, แข็งแกร่ง, แน่นหนา",建物が頑丈だ。,อาคารแข็งแรง
感触,かんしょく,"sense of touch, feeling, sensation",JLPT_1 JLPT,Ll+!^%W~Bg,"สัมผัส ความรู้สึก การรับรู้, ประสาทสัมผัส, ความรู้สึกสัมผัส, การสัมผัส",石の感触。,สัมผัสของหิน
肝心,かんじん,"essential, fundamental, crucial",JLPT_1 JLPT,cGezcCU7jN,"จำเป็น สำคัญ จำเป็นอย่างยิ่ง, พื้นฐาน, คอขาดบาดตาย, ขาดไม่ได้",この仕事で肝心なのは、時間内に終わらせることです。,สิ่งสำคัญในงานนี้คือการทำให้เสร็จทันเวลา
肝腎,かんじん,"essential, fundamental, crucial",JLPT_1 JLPT,qQm@vZEhuX,"จำเป็น สำคัญ จำเป็นอย่างยิ่ง, พื้นฐาน, คอขาดบาดตาย, ขาดไม่ได้",健康は人生で肝腎なことです。,สุขภาพเป็นสิ่งสำคัญอย่างยิ่งในชีวิต
関税,かんぜい,"customs, duty, tariff",JLPT_1 JLPT,J<YhnUzDH9,"ศุลกากร ภาษี อัตราภาษี, พิกัดภาษี, ค่าธรรมเนียมศุลกากร, ภาษีนำเข้า",この品物には関税がかかりますか？,สินค้านี้มีภาษีศุลกากรหรือไม่?
岩石,がんせき,rock,JLPT_1 JLPT,Fvc~*$ysUp,"หิน, ก้อนหิน, ศิลา, ภูผา",山に大きな岩石がありました。,มีก้อนหินใหญ่บนภูเขา
感染,かんせん,"infection, contagion",JLPT_1 JLPT,yaKv$j-u9~,"การติดเชื้อ, การแพร่กระจาย, โรคติดต่อ, การระบาด",風邪は感染しやすい病気です。,ไข้หวัดเป็นโรคที่ติดต่อง่าย
幹線,かんせん,"main line, trunk line",JLPT_1 JLPT,qnR@^N<xB(,"สายหลัก, สายส่ง, เส้นทางหลัก, ทางหลวง",この道路は町の幹線道路です。,ถนนสายนี้เป็นถนนสายหลักของเมือง
簡素,かんそ,"simplicity, plain",JLPT_1 JLPT,jcV8%N9G]T,"ความเรียบง่าย ตรงไปตรงมา, ไม่ซับซ้อน, ธรรมดา, ง่ายๆ",彼の生活はとても簡素です。,ชีวิตของเขาเรียบง่ายมาก
観点,かんてん,point of view,JLPT_1 JLPT,sRkkbw!PVn,"มุมมอง, ทัศนคติ, แง่มุม, ความคิดเห็น",その問題について、別の観点から見てみましょう。,เรามาลองมองปัญหาดังกล่าวจากมุมมองอื่นกัน
感度,かんど,"sensitivity, severity (quake)",JLPT_1 JLPT,c!Eb1-<+V1,"ความไว ความรุนแรง (แผ่นดินไหว), การตอบสนอง, ความรุนแรง (แผ่นดินไหว), ความรู้สึก",このカメラは感度が高いです。,กล้องตัวนี้มีความไวสูง
カンニング,カンニング,"cunning, cheat",JLPT_1 JLPT,f{(PYG4OSM,"เจ้าเล่ห์ โกง, ฉ้อโกง, ทุจริต, ขี้โกง",テストでカンニングするのはいけません。,การโกงข้อสอบเป็นสิ่งที่ไม่ควรทำ
元年,がんねん,first year (of a specific reign),JLPT_1 JLPT,hmCuQzSd35,"ปีแรก (ของรัชสมัยใดรัชสมัยหนึ่ง), ปีก่อตั้ง, วาระแรก, ปีเริ่มต้น",これは明治元年（がんねん）の地図です。,นี่คือแผนที่ของปีเมจิที่ 1
幹部,かんぶ,"management, executive",JLPT_1 JLPT,L1KYyf^E^2,"การจัดการ, ผู้บริหาร, ฝ่ายบริหาร, ผู้จัดการ",彼は会社の幹部です。,เขาเป็นผู้บริหารของบริษัท
完ぺき,かんぺき,"perfection, completeness, flawless",JLPT_1 JLPT,z+SJefr{>B,"ความสมบูรณ์แบบ, ครบถ้วน, ไร้ที่ติ, สมบูรณ์แบบที่สุด",彼の日本語は完ぺきです。,ภาษาญี่ปุ่นของเขาไร้ที่ติ
勘弁,かんべん,"pardon, forgiveness, forbearance",JLPT_1 JLPT,"l*Q,*Lu2Mg","การอภัยโทษ การยกโทษ การอดทนอดกลั้น, อภัย, ให้ยกโทษ, ทนทาน",もう勘弁してください。,ได้โปรดให้อภัยฉันอีกครั้ง
感無量,かんむりょう,"deep feeling, filled with emotion",JLPT_1 JLPT,h`NZ!a[CSf,"ความรู้สึกที่ลึกซึ้ง เต็มไปด้วยอารมณ์, ซาบซึ้งใจ, ตื้นตัน, อารมณ์ท่วมท้น",卒業式では感無量でした。,ฉันรู้สึกตื้นตันใจมากในพิธีจบการศึกษา
勧誘,かんゆう,"invitation, canvassing, inducement",JLPT_1 Intermediate_Japanese_Ln.5 JLPT Intermediate_Japanese,fyr>KNdC{T,"การเชิญชวน การชักชวน การจูงใจ, ชักนำ, โน้มน้าว, ชวน",友人が新しい店に勧誘してくれました。,เพื่อนของฉันชวนให้ฉันไปร้านใหม่
関与,かんよ,"participation, taking part in",JLPT_1 JLPT,d<Jle/NX</,"การมีส่วนร่วม การเข้าร่วม, ร่วมมือ, เกี่ยวข้อง, เข้าร่วมด้วย",事件に多くの人が関与していました。,ผู้คนจำนวนมากมีส่วนเกี่ยวข้องกับคดี
寛容,かんよう,"forbearance, tolerance, generosity, involvement",JLPT_1 JLPT,f|A2.V0M-n,"ความอดทน ความใจกว้าง ความเอื้อเฟื้อเผื่อแผ่ การมีส่วนร่วม, ใจกว้าง, ความทนทาน, ความเอื้อเฟื้อ",彼女はとても寛容な人です。,เธอเป็นคนที่มีความใจกว้างมาก
元来,がんらい,"originally, naturally",JLPT_1 JLPT,Cno5E):pRp,"เดิมทีตามธรรมชาติ, โดยกำเนิด, แรกเริ่ม, แต่แรก",彼は元来、優しい性格です。,โดยธรรมชาติแล้วเขาเป็นคนที่มีนิสัยอ่อนโยน
観覧,かんらん,viewing,JLPT_1 JLPT,"A$Cx0<I,I0","การรับชม, การดู, การเฝ้าดู, ชม",野外コンサートを観覧しました。,ฉันไปชมคอนเสิร์ตกลางแจ้ง
慣例,かんれい,"custom, precedent, of convention",JLPT_1 JLPT,t0a}a`u9:H,"ธรรมเนียมปฏิบัติ, แบบอย่าง, ของธรรมเนียม, ประเพณี",それはこの会社の慣例です。,นั่นเป็นธรรมเนียมปฏิบัติของบริษัทนี้
還暦,かんれき,60th birthday,JLPT_1 JLPT,4cAN40ulx,"วันเกิดครบรอบ 60 ปี, อายุครบ 60 ปี, ครบรอบหกสิบ, วันแซยิด",父は今年還暦を迎えます。,พ่อของฉันจะอายุครบ 60 ปีในปีนี้
貫禄,かんろく,"presence, dignity",JLPT_1 JLPT,I1]lC*Xh&L,"การปรากฏตัว, ศักดิ์ศรี, สง่าผ่าเผย, บุคลิกสง่างาม",彼は貫禄のある人です。,เขาเป็นคนที่มีบุคลิกสง่างาม
緩和,かんわ,"relief, mitigation",JLPT_1 JLPT,"k^:RZ|u,e@","การบรรเทา การลดผลกระทบ, บรรเทาลง, ลดหย่อน, ผ่อนคลาย",寒さが少し和らぎました。,ความหนาวเย็นลดลงเล็กน้อย
議案,ぎあん,legislative bill,JLPT_1 JLPT,"I,VMbY@&-V","ร่างกฎหมาย, ร่างพระราชบัญญัติ, ข้อเสนอทางกฎหมาย, ร่างข้อบังคับ",新しい議案が提出されました。,มีการเสนอร่างกฎหมายใหม่
危害,きがい,"injury, harm, danger",JLPT_1 JLPT,F>Z;`xG3Np,"การบาดเจ็บ, อันตราย, ความเสี่ยง, ภัยอันตราย",この地域は災害の危害が多いです。,ภูมิภาคนี้มีความเสี่ยงต่อภัยพิบัติสูง
企画,きかく,"planning, project",JLPT_1 Intermediate_Japanese_Ln.14 JLPT Intermediate_Japanese,w*I2LS4{H:,"การวางแผน โครงการ, แผนงาน, การจัดทำแผน, แผนการ",新しい企画を考えています。,ฉันกำลังคิดถึงแผนงานใหม่
